federation_id;federation_name;confederation_id;region_id
1;Algerian Football Federation;CF-2;1
2;Angolan Football Federation;CF-2;1
3;Cameroonian Football Federation;CF-2;1
4;Argentine Football Association;CF-4;2
5;Bolivian Football Federation;CF-4;2
6;Brazilian Football Confederation;CF-4;2
7;Football Australia;CF-1;3
8;Austrian Football Association;CF-6;4
9;Royal Belgian Football Association;CF-6;4
10;Football Association of Bosnia and Herzegovina;CF-6;4
11;Bulgarian Football Union;CF-6;4
12;Canadian Soccer Association;CF-3;5
13;Football Federation of Chile;CF-4;2
14;Chinese Football Association;CF-1;6
15;Chinese Taipei Football Association;CF-1;6
16;Colombia Football Federation;CF-4;2
17;Costa Rican Football Federation;CF-3;7
18;Croatian Football Federation;CF-6;4
19;Football Association of Cuba;CF-3;8
20;Football Association of the Czech Republic;CF-6;4
21;Football Association of the Czechoslovakia;CF-6;4
22;Danish Football Association;CF-6;4
23;Football Association of Indonesia;CF-1;9
24;Football Association of East Germany;CF-6;4
25;Ecuadorian Football Federation;CF-4;2
26;Egyptian Football Association;CF-2;1
27;Salvadorian Football Federation;CF-3;7
28;The Football Association;CF-6;4
29;Equatoguinean Football Federation;CF-2;1
30;French Football Association;CF-6;4
31;Germany Football Association;CF-6;4
32;Ghana Football Association;CF-2;1
33;Hellenic Football Associaiton;CF-6;4
34;Haitian Football Federation;CF-3;8
35;National Autonomous Federation of Football of Honduras;CF-3;7
36;Hungary Football Association;CF-6;4
37;Football Association of Iceland;CF-6;4
38;Football Federation Islamic Republic of Iran;CF-1;10
39;Iraq Football Association;CF-1;10
40;Israel Football Association;CF-6;10
41;Italian Football Association;CF-6;4
42;Ivorian Football Federation;CF-2;1
43;Jamaica Football Federation;CF-3;8
44;Japan Football Association;CF-1;6
45;Kuwait Football Association;CF-1;10
46;Mexican Football Federation;CF-3;5
47;Royal Moroccan Football Federation;CF-2;1
48;Royal Dutch Football Association;CF-6;4
49;New Zealand Football;CF-5;3
50;Nigeria Football Federation;CF-2;1
51;Democratic People's Republic of Korea Football Association;CF-1;6
52;Irish Football Association;CF-6;4
53;Norwegian Football Federation;CF-6;4
54;Panamanian Football Federation;CF-3;7
55;Paraguayan Football Association;CF-4;2
56;Peruvian Football Association;CF-4;2
57;Polish Football Association;CF-6;4
58;Portuguese Football Federation;CF-6;4
59;Qatar Football Association;CF-1;10
60;Football Association of Ireland;CF-6;4
61;Romanian Football Federation;CF-6;4
62;Russian Football Union;CF-6;11
63;Saudi Arabian Football Association;CF-1;10
64;Scottish Football Association;CF-6;4
65;Senegalese Football Federation;CF-2;1
66;Football Association of Serbia;CF-6;4
67;Football Association of Serbia and Montenegro;CF-6;4
68;Slovak Football Association;CF-6;4
69;Football Association of Slovenia;CF-6;4
70;South African Football Associaiton;CF-2;1
71;Korea Football Association;CF-1;6
72;Football Federation of the Soviet Union;CF-6;11
73;Royal Spanish Football Federation;CF-6;4
74;Swedish Football Association;CF-6;4
75;Swiss Football Association;CF-6;4
76;Football Association of Thailand;CF-1;9
77;Togolese Football Federation;CF-2;1
78;Trinidad and Tobago Football Assocaition;CF-3;8
79;Tunisian Football Federation;CF-2;1
80;Turkish Football Association;CF-6;11
81;Ukrainian Association of Football;CF-6;4
82;United Arab Emirates Football Association;CF-1;10
83;United States Soccer Federation;CF-3;5
84;Uruguayan Football Association;CF-4;2
85;Football Association of Wales;CF-6;4
86;Football Association of Yugoslavia;CF-6;4
87;Congolese Association Football Federation;CF-2;1
