tournament_id;match_id;stage_name;group_name;group_stage;knockout_stage;replayed;replay;match_date;match_time;stadium_id;home_team_id;away_team_id;home_team_score;away_team_score;extra_time;penalty_shootout;home_team_score_penalties;away_team_score_penalties;home_team_win;away_team_win
WC-1930;M-1930-01;group stage;Group 1;1;0;0;0;1930-07-13;15:00;S-240;T-30;T-46;4;1;0;0;0;0;1;0
WC-1930;M-1930-02;group stage;Group 4;1;0;0;0;1930-07-13;15:00;S-239;T-83;T-06;3;0;0;0;0;0;1;0
WC-1930;M-1930-03;group stage;Group 2;1;0;0;0;1930-07-14;12:45;S-239;T-87;T-09;2;1;0;0;0;0;1;0
WC-1930;M-1930-04;group stage;Group 3;1;0;0;0;1930-07-14;14:50;S-240;T-61;T-56;3;1;0;0;0;0;1;0
WC-1930;M-1930-05;group stage;Group 1;1;0;0;0;1930-07-15;16:00;S-239;T-03;T-30;1;0;0;0;0;0;1;0
WC-1930;M-1930-06;group stage;Group 1;1;0;0;0;1930-07-16;14:45;S-239;T-13;T-46;3;0;0;0;0;0;1;0
WC-1930;M-1930-07;group stage;Group 2;1;0;0;0;1930-07-17;12:45;S-239;T-87;T-07;4;0;0;0;0;0;1;0
WC-1930;M-1930-08;group stage;Group 4;1;0;0;0;1930-07-17;14:45;S-239;T-83;T-55;3;0;0;0;0;0;1;0
WC-1930;M-1930-09;group stage;Group 3;1;0;0;0;1930-07-18;14:30;S-238;T-84;T-56;1;0;0;0;0;0;1;0
WC-1930;M-1930-10;group stage;Group 1;1;0;0;0;1930-07-19;12:50;S-238;T-13;T-30;1;0;0;0;0;0;1;0
WC-1930;M-1930-11;group stage;Group 1;1;0;0;0;1930-07-19;15:00;S-238;T-03;T-46;6;3;0;0;0;0;1;0
WC-1930;M-1930-12;group stage;Group 2;1;0;0;0;1930-07-20;13:00;S-238;T-09;T-07;4;0;0;0;0;0;1;0
WC-1930;M-1930-13;group stage;Group 4;1;0;0;0;1930-07-20;15:00;S-238;T-55;T-06;1;0;0;0;0;0;1;0
WC-1930;M-1930-14;group stage;Group 3;1;0;0;0;1930-07-21;14:50;S-238;T-84;T-61;4;0;0;0;0;0;1;0
WC-1930;M-1930-15;group stage;Group 1;1;0;0;0;1930-07-22;14:45;S-238;T-03;T-13;3;1;0;0;0;0;1;0
WC-1930;M-1930-16;semi-finals;NULL;0;1;0;0;1930-07-26;14:45;S-238;T-03;T-83;6;1;0;0;0;0;1;0
WC-1930;M-1930-17;semi-finals;NULL;0;1;0;0;1930-07-27;14:45;S-238;T-84;T-87;6;1;0;0;0;0;1;0
WC-1930;M-1930-18;final;NULL;0;1;0;0;1930-07-30;14:15;S-238;T-84;T-03;4;2;0;0;0;0;1;0
WC-1934;M-1934-01;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-114;T-05;T-30;3;2;1;0;0;0;1;0
WC-1934;M-1934-02;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-113;T-21;T-61;2;1;0;0;0;0;1;0
WC-1934;M-1934-03;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-105;T-31;T-06;5;2;0;0;0;0;1;0
WC-1934;M-1934-04;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-108;T-36;T-26;4;2;0;0;0;0;1;0
WC-1934;M-1934-05;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-111;T-41;T-83;7;1;0;0;0;0;1;0
WC-1934;M-1934-06;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-106;T-73;T-09;3;1;0;0;0;0;1;0
WC-1934;M-1934-07;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-102;T-74;T-03;3;2;0;0;0;0;1;0
WC-1934;M-1934-08;round of 16;NULL;0;1;0;0;1934-05-27;16:00;S-107;T-75;T-48;3;2;0;0;0;0;1;0
WC-1934;M-1934-09;quarter-finals;NULL;0;1;0;0;1934-05-31;16:30;S-102;T-05;T-36;2;1;0;0;0;0;1;0
WC-1934;M-1934-10;quarter-finals;NULL;0;1;0;0;1934-05-31;16:30;S-114;T-21;T-75;3;2;0;0;0;0;1;0
WC-1934;M-1934-11;quarter-finals;NULL;0;1;0;0;1934-05-31;16:30;S-107;T-31;T-74;2;1;0;0;0;0;1;0
WC-1934;M-1934-12;quarter-finals;NULL;0;1;1;0;1934-05-31;16:30;S-105;T-41;T-73;1;1;1;0;0;0;0;0
WC-1934;M-1934-13;quarter-finals;NULL;0;1;0;1;1934-06-01;16:30;S-105;T-41;T-73;1;0;0;0;0;0;1;0
WC-1934;M-1934-14;semi-finals;NULL;0;1;0;0;1934-06-03;16:30;S-111;T-21;T-31;3;1;0;0;0;0;1;0
WC-1934;M-1934-15;semi-finals;NULL;0;1;0;0;1934-06-03;16:30;S-107;T-41;T-05;1;0;0;0;0;0;1;0
WC-1934;M-1934-16;third-place match;NULL;0;1;0;0;1934-06-07;18:00;S-108;T-31;T-05;3;2;0;0;0;0;1;0
WC-1934;M-1934-17;final;NULL;0;1;0;0;1934-06-10;17:00;S-111;T-41;T-21;2;1;1;0;0;0;1;0
WC-1938;M-1938-01;round of 16;NULL;0;1;1;0;1938-06-04;17:00;S-068;T-75;T-31;1;1;1;0;0;0;0;0
WC-1938;M-1938-02;round of 16;NULL;0;1;1;0;1938-06-05;17:00;S-077;T-19;T-61;3;3;1;0;0;0;0;0
WC-1938;M-1938-03;round of 16;NULL;0;1;0;0;1938-06-05;17:00;S-069;T-30;T-06;3;1;0;0;0;0;1;0
WC-1938;M-1938-04;round of 16;NULL;0;1;0;0;1938-06-05;17:00;S-071;T-36;T-23;6;0;0;0;0;0;1;0
WC-1938;M-1938-05;round of 16;NULL;0;1;0;0;1938-06-05;17:00;S-064;T-41;T-53;2;1;1;0;0;0;1;0
WC-1938;M-1938-06;round of 16;NULL;0;1;0;0;1938-06-05;17:30;S-075;T-09;T-57;6;5;1;0;0;0;1;0
WC-1938;M-1938-07;round of 16;NULL;0;1;0;0;1938-06-05;18:30;S-058;T-21;T-48;3;0;1;0;0;0;1;0
WC-1938;M-1938-08;round of 16;NULL;0;1;0;1;1938-06-09;18:00;S-077;T-19;T-61;2;1;0;0;0;0;1;0
WC-1938;M-1938-09;round of 16;NULL;0;1;0;1;1938-06-09;18:00;S-068;T-75;T-31;4;2;0;0;0;0;1;0
WC-1938;M-1938-10;quarter-finals;NULL;0;1;1;0;1938-06-12;17:00;S-056;T-09;T-21;1;1;1;0;0;0;0;0
WC-1938;M-1938-11;quarter-finals;NULL;0;1;0;0;1938-06-12;17:00;S-061;T-36;T-75;2;0;0;0;0;0;1;0
WC-1938;M-1938-12;quarter-finals;NULL;0;1;0;0;1938-06-12;17:00;S-069;T-41;T-30;3;1;0;0;0;0;1;0
WC-1938;M-1938-13;quarter-finals;NULL;0;1;0;0;1938-06-12;17:00;S-055;T-74;T-19;8;0;0;0;0;0;1;0
WC-1938;M-1938-14;quarter-finals;NULL;0;1;0;1;1938-06-14;18:00;S-056;T-09;T-21;2;1;0;0;0;0;1;0
WC-1938;M-1938-15;semi-finals;NULL;0;1;0;0;1938-06-16;18:00;S-068;T-36;T-74;5;1;0;0;0;0;1;0
WC-1938;M-1938-16;semi-finals;NULL;0;1;0;0;1938-06-16;18:00;S-064;T-41;T-09;2;1;0;0;0;0;1;0
WC-1938;M-1938-17;third-place match;NULL;0;1;0;0;1938-06-19;17:00;S-056;T-09;T-74;4;2;0;0;0;0;1;0
WC-1938;M-1938-18;final;NULL;0;1;0;0;1938-06-19;17:00;S-069;T-41;T-36;4;2;0;0;0;0;1;0
WC-1950;M-1950-01;group stage;Group 1;1;0;0;0;1950-06-24;15:00;S-020;T-09;T-46;4;0;0;0;0;0;1;0
WC-1950;M-1950-02;group stage;Group 1;1;0;0;0;1950-06-25;15:00;S-007;T-87;T-75;3;0;0;0;0;0;1;0
WC-1950;M-1950-03;group stage;Group 2;1;0;0;0;1950-06-25;15:00;S-020;T-28;T-13;2;0;0;0;0;0;1;0
WC-1950;M-1950-04;group stage;Group 2;1;0;0;0;1950-06-25;15:00;S-012;T-73;T-83;3;1;0;0;0;0;1;0
WC-1950;M-1950-05;group stage;Group 3;1;0;0;0;1950-06-25;15:00;S-023;T-74;T-41;3;2;0;0;0;0;1;0
WC-1950;M-1950-06;group stage;Group 1;1;0;0;0;1950-06-28;15:00;S-023;T-09;T-75;2;2;0;0;0;0;0;0
WC-1950;M-1950-07;group stage;Group 1;1;0;0;0;1950-06-28;15:00;S-017;T-87;T-46;4;1;0;0;0;0;1;0
WC-1950;M-1950-08;group stage;Group 2;1;0;0;0;1950-06-29;15:00;S-020;T-73;T-13;2;0;0;0;0;0;1;0
WC-1950;M-1950-09;group stage;Group 2;1;0;0;0;1950-06-29;15:00;S-007;T-83;T-28;1;0;0;0;0;0;1;0
WC-1950;M-1950-10;group stage;Group 3;1;0;0;0;1950-06-29;15:30;S-012;T-74;T-55;2;2;0;0;0;0;0;0
WC-1950;M-1950-11;group stage;Group 1;1;0;0;0;1950-07-01;15:00;S-020;T-09;T-87;2;0;0;0;0;0;1;0
WC-1950;M-1950-12;group stage;Group 2;1;0;0;0;1950-07-02;15:00;S-019;T-13;T-83;5;2;0;0;0;0;1;0
WC-1950;M-1950-13;group stage;Group 2;1;0;0;0;1950-07-02;15:00;S-020;T-73;T-28;1;0;0;0;0;0;1;0
WC-1950;M-1950-14;group stage;Group 3;1;0;0;0;1950-07-02;15:00;S-023;T-41;T-55;2;0;0;0;0;0;1;0
WC-1950;M-1950-15;group stage;Group 4;1;0;0;0;1950-07-02;15:00;S-007;T-84;T-07;8;0;0;0;0;0;1;0
WC-1950;M-1950-16;group stage;Group 1;1;0;0;0;1950-07-02;15:40;S-017;T-75;T-46;2;1;0;0;0;0;1;0
WC-1950;M-1950-17;final round;NULL;1;0;0;0;1950-07-09;15:00;S-020;T-09;T-74;7;1;0;0;0;0;1;0
WC-1950;M-1950-18;final round;NULL;1;0;0;0;1950-07-09;15:00;S-023;T-84;T-73;2;2;0;0;0;0;0;0
WC-1950;M-1950-19;final round;NULL;1;0;0;0;1950-07-13;15:00;S-020;T-09;T-73;6;1;0;0;0;0;1;0
WC-1950;M-1950-20;final round;NULL;1;0;0;0;1950-07-13;15:00;S-023;T-84;T-74;3;2;0;0;0;0;1;0
