player_appearance_id;tournament_id;match_id;team_id;home_team;away_team;player_id;shirt_number;starter;substitute;position_id
1;WC-1970;M-1970-01;T-46;1;0;P-66980;1;1;0;1
2;WC-1970;M-1970-01;T-72;0;1;P-79597;2;1;0;1
3;WC-1970;M-1970-01;T-46;1;0;P-64553;3;1;0;2
4;WC-1970;M-1970-01;T-46;1;0;P-42664;5;1;0;2
5;WC-1970;M-1970-01;T-46;1;0;P-96177;13;1;0;2
6;WC-1970;M-1970-01;T-46;1;0;P-38555;14;1;0;2
7;WC-1970;M-1970-01;T-72;0;1;P-17002;5;1;0;2
8;WC-1970;M-1970-01;T-72;0;1;P-52906;6;1;0;2
9;WC-1970;M-1970-01;T-72;0;1;P-70408;7;1;0;2
10;WC-1970;M-1970-01;T-72;0;1;P-28651;9;1;0;2
11;WC-1970;M-1970-01;T-46;1;0;P-69898;6;1;0;3
12;WC-1970;M-1970-01;T-46;1;0;P-85808;15;1;0;3
13;WC-1970;M-1970-01;T-46;1;0;P-32657;18;1;0;3
14;WC-1970;M-1970-01;T-46;1;0;P-96873;8;0;1;3
15;WC-1970;M-1970-01;T-72;0;1;P-33189;11;1;0;3
16;WC-1970;M-1970-01;T-72;0;1;P-50044;14;1;0;3
17;WC-1970;M-1970-01;T-72;0;1;P-60181;15;1;0;3
18;WC-1970;M-1970-01;T-46;1;0;P-56971;10;1;0;4
19;WC-1970;M-1970-01;T-46;1;0;P-07812;19;1;0;4
20;WC-1970;M-1970-01;T-46;1;0;P-48001;21;1;0;4
21;WC-1970;M-1970-01;T-72;0;1;P-02102;16;1;0;4
22;WC-1970;M-1970-01;T-72;0;1;P-72049;17;1;0;4
23;WC-1970;M-1970-01;T-72;0;1;P-43733;19;1;0;4
24;WC-1970;M-1970-01;T-72;0;1;P-59828;20;0;1;4
25;WC-1970;M-1970-01;T-72;0;1;P-98262;21;0;1;4
26;WC-1970;M-1970-02;T-84;1;0;P-53140;1;1;0;1
27;WC-1970;M-1970-02;T-84;1;0;P-47978;2;1;0;2
28;WC-1970;M-1970-02;T-84;1;0;P-83747;3;1;0;2
29;WC-1970;M-1970-02;T-84;1;0;P-63224;4;1;0;2
30;WC-1970;M-1970-02;T-84;1;0;P-83931;5;1;0;3
31;WC-1970;M-1970-02;T-84;1;0;P-50162;6;1;0;2
32;WC-1970;M-1970-02;T-84;1;0;P-81929;7;1;0;3
33;WC-1970;M-1970-02;T-84;1;0;P-47892;8;1;0;3
34;WC-1970;M-1970-02;T-84;1;0;P-99710;9;1;0;4
35;WC-1970;M-1970-02;T-84;1;0;P-40429;10;1;0;3
36;WC-1970;M-1970-02;T-84;1;0;P-08424;21;1;0;3
37;WC-1970;M-1970-02;T-84;1;0;P-82186;20;0;1;4
38;WC-1970;M-1970-02;T-40;0;1;P-09393;1;1;0;1
39;WC-1970;M-1970-02;T-40;0;1;P-87631;4;1;0;2
