stadium_id;stadium_name;stadium_capacity;city_id
S-001;Estadio José Amalfitani;49000;1
S-002;Estadio Monumental;75000;1
S-003;Estadio Chateau Carreras;47000;2
S-004;Estadio José María Minella;44000;3
S-005;Estadio Ciudad de Mendoza;35000;4
S-006;Estadio Gigante de Arroyito;46000;5
S-007;Estádio Independência;30000;6
S-008;Estádio Mineirão;43000;6
S-009;Estádio Nacional;70000;7
S-010;Arena Pantanal;41000;8
S-011;Arena da Baixada;40000;9
S-012;Estádio Vila Capanema;10000;9
S-013;Estádio Castelão;63000;10
S-014;Arena da Amazônia;41000;11
S-015;Arena das Dunas;40000;12
S-016;Estádio Beira-Rio;43000;13
S-017;Estádio dos Eucaliptos;20000;13
S-018;Arena Pernambuco;43000;14
S-019;Estádio Ilha do Retiro;30000;14
S-020;Estádio do Maracanã;200000;15
S-021;Arena Fonte Nova;52000;16
S-022;Arena Corinthians;63000;17
S-023;Estádio do Pacaembu;60000;17
S-024;Commonwealth Stadium;56000;18
S-025;Moncton Stadium;13000;19
S-026;Olympic Stadium;56000;20
S-027;TD Place Stadium;24000;21
S-028;BC Place;54000;22
S-029;Investors Group Field;33000;23
S-030;Estadio Carlos Dittborn;18000;24
S-031;Estadio El Teniente;18000;25
S-032;Estadio Nacional;67000;26
S-033;Estadio Sausalito;18000;27
S-034;Chengdu Sports Center;40000;28
S-035;New Plaza Stadium;14000;29
S-036;Gaungdong Provincial Stadium;25000;30
S-037;Guangdong Provincial Stadium;25000;30
S-038;Tainhe Stadium;60000;30
S-039;Tianhe Stadium;60000;30
S-040;Ying Tung Stadium;15000;30
S-041;Yellow Dragon Sports Center;51000;31
S-042;Jiangmen Stadium;13000;32
S-043;Hongkou Football Stadium;33000;33
S-044;Tianjin Olympic Center;60000;34
S-045;Wuhan Sports Center;60000;35
S-046;Zhongshan Stadium;12000;36
S-047;Villa Park;52000;37
S-048;Goodison Park;50000;38
S-049;Wembley Stadium;99000;39
S-050;White City Stadium;77000;39
S-051;Old Trafford;58000;40
S-052;Ayresome Park;40000;41
S-053;Hillsborough Stadium;43000;42
S-054;Roker Park;40000;43
S-055;Stade du Fort Carré;7000;44
S-056;Stade du Parc Lescure;35000;45
S-057;Stade des Alpes;18000;46
S-058;Stade Jules Deschaseaux;22000;47
S-059;Stade Océane;24000;47
S-060;Stade Félix-Bollaert;41000;48
S-061;Stade Victor Boucquey;15000;49
S-062;Parc Olympique Lyonnais;58000;50
S-063;Stade de Gerland;44000;50
S-064;Stade Vélodrome;60000;51
S-065;Stade de la Mosson;34000;52
S-066;Stade de la Beaujoire;40000;53
S-067;Allianz Riviera;35000;54
S-068;Parc des Princes;49000;55
S-069;Stade Olympique de Colombes;60000;55
S-070;Stade Auguste-Delaune;21000;56
S-071;Vélodrome Municipal;22000;56
S-072;Roazhon Park;29000;57
S-073;Stade de France;80000;58
S-074;Stade Geoffroy-Guichard;36000;59
S-075;Stade de la Meinau;30000;60
S-076;Stade de Toulouse;37000;61
S-077;Stade du T.O.E.C.;15000;61
S-078;Stade du Hainaut;23000;62
S-079;Impuls Arena;25000;63
S-080;Olympiastadion;86000;64
S-081;Ruhrstadion;21000;65
S-082;RheinEnergieStadion;45000;66
S-083;Westfalenstadion;65000;67
S-084;Rudolf-Harbig-Stadion;26000;68
S-085;Rheinstadion;70000;69
S-086;Waldstadion;62000;70
S-087;Arena AufShalke;52000;71
S-088;Parkstadion;72000;71
S-089;Volksparkstadion;61000;72
S-090;Niedersachsenstadion;60000;73
S-091;Fritz-Walter-Stadion;46000;74
S-092;Zentralstadion;43000;75
S-093;BayArena;30000;76
S-094;Borussia-Park;46000;77
S-095;Allianz Arena;66000;78
S-096;Olympiastadion;78000;78
S-097;Frankenstadion;41000;79
S-098;Rhein-Neckar-Arena;30000;80
S-099;Neckarstadion;72000;81
S-100;Volkswagen Arena;26000;82
S-101;Stadio San Nicola;51000;83
S-102;Stadio Renato Dall'Ara;50000;84
S-103;Stadio Sant'Elia;35000;85
S-104;Stadio Comunale;39000;86
S-105;Stadio Giovanni Berta;47000;86
S-106;Stadio Luigi Ferraris;37000;87
S-107;San Siro;75000;88
S-108;Stadio Giorgio Ascarelli;40000;89
S-109;Stadio San Paolo;60000;89
S-110;Stadio La Favorita;33000;90
S-111;Stadio Nazionale PNF;47000;91
S-112;Stadio Olimpico;74000;91
S-113;Stadio Littorio;8000;92
S-114;Stadio Benito Mussolini;28000;93
S-115;Stadio delle Alpi;63000;93
S-116;Stadio Friuli;36000;94
S-117;Stadio Marc'Antonio Bentegodi;36000;95
S-118;Kashima Stadium;42000;96
S-119;Kobe Wing Stadium;42000;97
S-120;Miyagi Stadium;49000;98
S-121;Niigata Stadium;42000;99
S-122;Ōita Stadium;43000;100
S-123;Nagai Stadium;50000;101
S-124;Saitama Stadium;63000;102
S-125;Sapporo Dome;42000;103
S-126;Shizuoka Stadium ECOPA;51000;104
S-127;International Stadium Yokohama;72000;105
S-128;Estadio Jalisco;71000;106
S-129;Estadio Tres de Marzo;30000;106
S-130;Estadio Sergio León Chavez;31000;107
S-131;Estadio Nou Camp;31000;108
S-132;Estadio Azteca;115000;109
S-133;Estadio Olímpico Universitario;72000;109
S-134;Estadio Tecnológico;34000;110
S-135;Estadio Universitario;44000;110
S-136;Estadio Neza 86;35000;111
S-137;Estadio Cuauhtémoc;46000;112
S-138;Estadio La Corregidora;39000;113
